cos,usr_click_nums,same_cos_nums,±»÷µ
0.047206,73,247,0.295546559
0.0424,24,97,0.24742268
0.069561,4,18,0.222222222
0.065156,7,17,0.411764706
0.055375,0,2,0
0.148522,10,40,0.25
0.074883,12,40,0.3
0.034842,1,8,0.125
0.016529,1,3,0.333333333
0.201619,0,2,0
0.063758,16,103,0.155339806
0.133705,2,19,0.105263158
0.017314,0,1,0
0.139347,0,1,0
0.14072,0,2,0
0.044065,839,5682,0.147659275
0.017656,1,1,1
0.077075,19,73,0.260273973
0.029463,70,246,0.284552846
0.032233,1,1,1
0.033672,1,2,0.5
0.060833,0,1,0
0.03698,4,17,0.235294118
0.023002,32,121,0.26446281
0.030289,127,686,0.185131195
0.044766,2,16,0.125
0.222222,0,3,0
0.039223,386,2343,0.164746052
0.044023,367,1659,0.221217601
0.055258,186,741,0.251012146
0.119791,4,9,0.444444444
0.020567,1,6,0.166666667
0.061494,1,4,0.25
0.170389,406,1850,0.219459459
0.174574,13,52,0.25
0.127228,10,37,0.27027027
0.03383,2,3,0.666666667
0.021393,13,53,0.245283019
0.018673,1,4,0.25
0.016678,1,2,0.5
0.054366,0,4,0
0.055805,0,1,0
0.039261,6,22,0.272727273
0.031129,64,272,0.235294118
0.023636,31,151,0.205298013
0.153574,2,2,1
0.096169,1,4,0.25
0.098533,212,1089,0.194674013
0.01963,5,27,0.185185185
0.017541,8,24,0.333333333
0.019188,1,2,0.5
0.052105,0,1,0
0.207614,0,1,0
0.067677,6,16,0.375
0.017125,0,3,0
0.055141,0,1,0
0.031782,214,1227,0.174409128
0.082416,27,82,0.329268293
0.026038,56,308,0.181818182
0.074352,1,1,1
0.089109,1,2,0.5
0.056077,23,55,0.418181818
0.038069,425,2283,0.186158563
0.071816,6,25,0.24
0.214834,588,3323,0.17694854
0.078811,74,270,0.274074074
0.041274,0,1,0
0.67082,14,248,0.056451613
0.097231,1,4,0.25
0.014149,0,1,0
0.034763,0,5,0
0.021863,0,11,0
0.019492,0,1,0
0.125863,1,6,0.166666667
0.01996,1,15,0.066666667
0.0306,71,239,0.29707113
0.135457,0,2,0
0.060096,0,1,0
0.070244,0,1,0
0.031623,274,1384,0.197976879
0.031273,1,2,0.5
0.12006,7,10,0.7
0.019217,10,38,0.263157895
0.063088,459,1682,0.272889417
0.142314,7,32,0.21875
0.030206,59,242,0.243801653
0.083624,144,558,0.258064516
0.028571,124,713,0.173913043
0.016064,0,1,0
0.033591,0,4,0
0.144338,1775,16562,0.107173047
0.140642,303,1185,0.255696203
0.141421,7025,56618,0.124077149
0.021557,3,11,0.272727273
0.017582,2,6,0.333333333
0.026584,85,409,0.207823961
0.068323,0,1,0
0.322749,2,5,0.4
0.019375,2,3,0.666666667
0.067335,6,18,0.333333333
0.027907,37,126,0.293650794
0.064685,33,123,0.268292683
0.022333,14,73,0.191780822
0.018865,2,3,0.666666667
0.014178,0,1,0
0.121999,5,16,0.3125
0.066832,5,14,0.357142857
0.02863,192,859,0.223515716
0.037729,0,2,0
0.123797,0,2,0
0.023237,3,18,0.166666667
0.087482,2,3,0.666666667
0.050818,1,1,1
0.176777,1842,17978,0.10245856
0.027054,1,1,1
0.050315,1350,9764,0.138263007
0.163517,0,1,0
0.191785,28,110,0.254545455
