cos	nums
0.237356	4
0.131991	0
0.043769	12
0.072369	0
0.029722	204
0.072787	3107
0.058891	4
0.019174	15
0.035202	2
0.136399	28525
0.032552	4
0.060578	1046
0.030254	9
0.071673	2
0.02	27
0.086793	1
0.177471	1
0.019302	2
0.120913	1
0.066291	1
0.070535	167
0.059549	74
0.110516	7
0.098324	3
0.0261	52
0.218543	212
0.12257	3
0.034837	523
0.078146	5198
0.246183	14
0.034149	0
0.024289	126
0.161296	63
0.031842	0
0.066519	114
0.02742	455
0.056048	2
0.019574	8
0.073302	51
0.014163	1
0.421637	261
0.068002	2046
0.042786	68
0.107096	2
0.01786	2
0.029601	7
0.043696	179
0.294884	6
0.018844	7
0.044499	6162
0.055577	796
0.025734	271
0.020121	47
0.034421	500
0.150649	17
0.100279	264
0.021296	63
0.063729	0
0.031027	0
0.023736	168
0.022559	81
0.030824	0
0.13159	1
0.121157	10
0.095637	4
0.053357	716
0.122169	2066
0.122068	19
0.035082	11
0.037743	13
0.019811	1
0.024168	32
0.138426	36
0.042757	1
0.143223	22300
0.022751	39
0.015796	1
0.03949	44
0.233126	2
0.09934	4
0.015915	0
0.032376	1
0.018303	3
0.031296	2
0.052076	473
0.027237	101
0.184637	106
0.168281	33
0.106714	3
0.031265	1
0.020349	27
0.01472	2
0.03089	280
0.034737	7
0.018932	12
0.017645	2
0.01765	2
0.350823	333
0.035383	23
0.071408	28
0.126773	702
0.020162	22
0.266667	120
0.027472	462
0.060733	3
0.08554	115
0.036736	6
0.247436	1
0.016655	2
0.037823	28
0.017501	2
0.022537	1
0.127343	837
0.043073	1
0.041748	62
0.036334	10
0.064625	13
0.053074	13282
0.089331	1
0.032359	1240
0.062284	3
0.325396	2390
0.054554	3465
0.016485	7
0.049629	27
0.019672	0
0.07417	1
0.066098	18
0.042295	10
0.26968	32663
0.042409	1470
0.096825	159
0.046072	0
0.09245	534
0.104973	10
0.068359	155
0.060181	4
0.099723	128
0.024282	22
0.036606	6
0.089009	4
0.060412	56
0.02387	118
0.167248	1
0.044281	6063
0.109545	353
0.016451	1
0.021054	14
0.015277	1
0.033567	1
0.053936	991
0.041559	16
0.058026	31
0.436436	15
0.052778	18
0.095564	2
0.020203	31
0.085057	2
0.15	1282
0.088345	2
0.111417	426
0.054153	17
0.114208	455
0.115711	13
0.417029	7
0.058977	1146
0.071714	19
0.029282	1
0.100314	5
0.039253	0
0.035164	12
0.028973	1
0.031189	275
0.029864	1
0.056493	0
0.036126	5
0.020695	26
0.08165	29674
0.03345	5
0.017667	3
0.015458	1
0.231869	1
0.053986	1
0.122988	628
0.040859	15
0.063036	0
0.014833	1
0.030261	262
0.107211	1320
0.061314	61
0.036761	2837
0.01838	10
0.024254	125
0.02967	270
0.020261	3
0.163908	2200
0.097849	195
0.017705	9
0.054188	1
0.059444	51
0.08528	6300
0.041169	3892
0.018925	1
0.20498	1
0.16843	6
0.028284	644
0.033333	1583
0.10328	11009
0.101361	4
0.080322	36531
0.018334	3
0.152302	41
0.080257	1
0.06143	19478
0.058321	46
0.057166	51
0.066227	7253
0.071755	1
0.024434	165
0.01618	1
0.041082	36
0.020048	5
0.137361	1747
0.044588	0
0.064033	16
0.025063	34
0.049922	362
0.049622	1
0.178885	21137
0.121806	0
0.039841	2704
0.073855	30
0.034427	6
0.025889	52
0.157622	0
0.091627	2
0.025692	263
0.017001	3
0.022502	175
0.060933	3
0.155543	42
0.031388	848
0.018007	3
0.11094	12368
0.059643	3
0.124635	12
0.080524	1
0.050063	16
0.028958	1
0.197814	3365
0.140488	61
0.040202	104
0.056949	5
0.307794	4012
0.049266	3945
0.091077	108
0.208013	50
0.069421	2220
0.19803	9
0.139482	3
0.103264	16
0.098176	11011
0.035749	10
0.181902	50
0.053225	20
0.071796	154
0.023596	25
0.077324	5
0.227429	3
0.045644	9322
0.01718	2
0.097129	753
0.06396	4
0.196352	112
0.121046	3
0.020888	5
0.084382	0
0.063457	11
0.033482	511
0.08461	2
0.092057	609
0.099504	759
0.01705	4
0.025582	40
0.017857	3
0.057364	1
0.070515	37
0.061898	71
0.026958	113
0.056443	0
0.018683	10
0.073621	0
0.062124	0
0.180187	0
0.106904	12552
0.175562	85
0.086874	5957
0.043193	1815
0.202031	1
0.280056	7
0.020829	47
0.018092	6
0.029715	4
0.03352	1137
0.020195	1
0.031976	1
0.13525	43
0.036179	960
0.082323	2
0.059365	1311
0.15396	45
0.022097	32
0.137604	25
0.015145	1
0.028583	135
0.06704	1634
0.022184	10
0.096623	1
0.071837	0
0.105851	1
0.023689	1
0.200446	109
0.033558	438
0.189618	125
0.044173	112
0.53033	134
0.061237	9
0.024427	35
0.261712	3
0.066034	1
0.246932	4
0.188144	1
0.135613	21
0.034816	1898
0.059409	3
0.050637	10207
0.141737	46
0.178017	97
0.017342	1
0.038597	15
0.035834	2
0.566947	167
0.022222	83
0.029004	1
0.044834	321
0.035921	1983
0.286039	4550
0.084705	0
0.070167	1
0.117192	9
0.02882	153
0.100791	11
0.016843	2
0.022195	74
0.02087	0
0.053283	1
0.033845	1
0.269408	261
0.042333	7
0.308607	14
0.082867	1
0.096573	125
0.037431	3
0.025094	41
0.082956	0
0.072884	0
0.044992	6
0.020447	10
0.022006	67
0.10171	275
0.019426	5
0.064327	26
0.066853	1900
0.043895	17
0.130312	984
0.013955	0
0.217186	4
0.056776	3
0.090815	5884
0.059131	47
0.035328	4
0.017418	2
0.116445	19587
0.018418	0
0.07303	2244
0.056344	14318
0.118211	0
0.076847	0
0.034627	1
0.023518	33
0.092253	8663
0.072976	29
0.109911	181
0.028398	833
0.02922	0
0.062869	77
0.024147	166
0.251976	3
0.028039	123
0.163984	50
0.107417	270
0.034275	10
0.052664	1
0.137505	44
0.033241	1328
0.02765	122
0.039186	44
0.286299	2
0.038984	2
0.211289	2
0.159	49
0.093205	2
0.023162	33
0.1676	1
0.032858	1
0.026822	439
0.035714	710
0.372678	3
0.067625	1
0.096225	12397
0.016274	1
0.018455	1
0.056911	920
0.036515	1908
0.268328	3271
0.049767	423
0.071919	37
0.039344	1
0.042108	1321
0.053644	664
0.025158	254
0.230633	2
0.01557	0
0.028868	927
0.090536	577
0.019858	2
0.030069	0
0.124035	57084
0.134704	22
0.024769	208
0.022119	13
0.068199	25876
0.020563	37
0.032444	1184
0.050833	29
0.100472	4
0.035991	530
0.015962	2
0.03338	4
0.01716	1
0.091406	5
