cos	nums
0.0	98737
0.125	2473
0.0625	1509
1.0	0
0.027196	19
0.057735	2815
0.014768	0
0.114286	2
0.031879	48
0.02065	12
0.072607	0
0.016254	0
0.022911	47
0.5	157
0.051164	3
0.116775	111
0.271163	1
0.149256	7
0.043561	2
0.1557	2805
0.031408	0
0.048507	1208
0.027037	13
0.026389	23
0.052889	153
0.164677	13
0.052058	9
0.216506	16
0.054233	2508
0.018137	9
0.081379	96
0.133038	0
0.021744	13
0.030303	0
0.038808	260
0.159719	0
0.102598	5714
0.3114	22
0.023415	7
0.02268	3
0.015587	1
0.023218	25
0.033005	0
0.060166	344
0.054074	8
0.043234	718
0.01511	0
0.016991	0
0.104116	0
0.014809	0
0.083077	0
0.030686	1
0.214423	1
0.057143	324
0.136931	223
0.055641	9
0.038691	310
0.022361	23
0.029553	171
0.116199	1
0.043602	0
0.319438	1
0.09105	0
0.021642	20
0.017474	1
0.307148	0
0.021248	13
0.059062	0
0.25	1058
0.0177	0
0.081111	1744
0.058124	1071
0.031174	0
0.074074	1
0.063246	1732
0.046436	56
0.016214	0
0.015394	1
0.018949	1
0.070321	5
0.017421	1
0.091457	3
0.512989	1
0.070418	6
0.068555	25
0.094398	41
0.03022	161
0.091799	1
0.055999	0
0.016129	1
0.020498	10
0.019407	2
0.060302	2261
0.064957	30
0.212298	47
0.047891	483
0.019448	0
0.140546	10
0.22188	11
0.021668	14
0.5547	1
0.029235	126
0.039873	0
0.036539	1
0.025254	9
0.018161	1
0.045883	993
0.047511	4
0.077771	0
0.07036	34
0.042885	25
0.054012	0
0.104132	96
0.088999	1385
0.077382	89
0.228218	0
0.016915	1
0.045038	2
0.018349	3
0.068701	0
0.061546	830
0.019861	2
0.036886	318
0.015891	0
0.026774	68
0.037062	191
0.035737	0
0.120386	255
0.051793	0
0.046176	3
0.023408	25
0.0153	0
0.1159	151
0.032342	115
0.14462	2
0.046209	1
0.045787	3
0.310087	0
0.029311	75
0.033634	134
0.109109	1586
0.103695	180
0.209529	401
0.088658	19
0.031798	0
0.016952	1
0.034684	2
0.098623	1
0.015084	1
0.040291	309
0.062217	5
0.024084	10
0.127451	1
0.062177	0
0.085749	1448
0.044151	5
0.117698	6
0.027735	126
0.089667	1
0.029931	0
0.017387	0
0.019627	0
0.01866	5
0.023313	24
0.091928	28
0.025924	21
0.112464	0
0.173422	1
0.0519	160
0.162623	6
0.021592	12
